Discount Name,Retailer,Link,Code,Description,How,Category,Location,University,Published,Placeholder
,Local Campus Cafe,https://example.com/local-campus-cafe,,10% off all hot drinks when you show your student ID.,Show student ID at counter,food,,usyd,FALSE,FALSE
,Inner West Coffee,https://example.com/innerwest-coffee,,Buy one get one free on small coffees Mon-Fri 3–5pm for students.,Show student concession card,food,,uts,FALSE,FALSE
,Campus Gym Discount,https://example.com/campus-gym,,Student annual membership 25% off at selected campus gyms.,Sign up at gym desk with student email,fitness,,unsw,FALSE,FALSE
,Books & More,https://example.com/books-more,,15% off stationery and selected textbooks for students.,Use your .edu.au email for online checkout,services,,all,FALSE,FALSE
,StudentTech Store,https://example.com/studenttech,TECH10,Exclusive 10% education discount on laptops and peripherals for students.,Verify with student email or upload student ID,tech,,all,FALSE,FALSE
,Fitness Studio — Newtown,https://example.com/fitness-newtown,,Special student drop-in rate $10 on weekdays.,Show student ID on arrival,fitness,,usyd,FALSE,FALSE
,Ramen House,https://example.com/ramen-house,,Free extra topping with student meal (show ID).,Show student ID,food,,unsw,FALSE,FALSE
,Clothing Outlet,https://example.com/clothing-outlet,,Students: 20% off in-store every Wednesday.,Show student ID at register,fashion,,all,FALSE,FALSE
,Local Taxi App,https://example.com/taxi-app,,$5 off first 3 rides for students who verify with email.,Verify student email in app,transport,,all,FALSE,FALSE
,Cinema Night,https://example.com/cinema-night,,Student Tuesdays: $12 tickets at participating cinemas.,Buy online with student promo code,entertainment,,uts,FALSE,FALSE
,Language Course Discount,https://example.com/lang-course,,50% off select short courses for enrolled students.,Register with student email,study,,macquarie,FALSE,FALSE
,Co-working Day Pass,https://example.com/cowork,,$8 day pass for students at partner coworking spaces.,Show student ID at check-in,services,,all,FALSE,FALSE
,Bike Shop,https://example.com/bike-shop,,10% off repairs and accessories for students.,Mention student discount in shop,services,,western,FALSE,FALSE
,Photo Prints,https://example.com/photo-prints,,25% off photo printing for student projects.,Use student email at checkout,services,,all,FALSE,FALSE
,Coffee Chain X,https://example.com/coffee-chain,,Free medium drink after 10 purchases for loyalty card holders (student rate available).,Register with student email,food,,all,FALSE,FALSE
,Study Software — Pro,https://example.com/study-software,STUDY50,50% discount for students on yearly subscriptions for study software.,Apply student discount code at checkout,software,,all,FALSE,FALSE
,Bike Share Promo,https://example.com/bikeshare,,Discounted monthly pass for students living near campus.,Enter university email to claim,transport,,usyd,FALSE,FALSE
,Local Pizzeria,https://example.com/pizzeria,,Student pizza deal: medium pizza + drink $10 when showing ID.,Order in-store and show ID,food,,unsw,FALSE,FALSE
,Tech Repair — Student Rate,https://example.com/tech-repair,,$20 off laptop repairs for students.,Show student ID at drop-off,tech,,uts,FALSE,FALSE
,Campus Barber,https://example.com/campus-barber,,$8 student haircuts on weekdays.,Show student ID,services,,usyd,FALSE,FALSE
,Study Cafe — Glebe,https://example.com/study-cafe,,Free pastry with any large coffee for students.,Show student ID,food,,usyd,FALSE,FALSE
,Stationery Express,https://example.com/stationery-express,,10% off all stationery and printing for students.,Enter student email at checkout,services,,all,FALSE,FALSE
,Coding Bootcamp Discount,https://example.com/coding-bootcamp,,20% off selected short bootcamps for students.,Apply student code at signup,study,,all,FALSE,FALSE
,Vintage Clothing Lane,https://example.com/vintage-lane,,Students get an extra 15% off sale items.,Show student ID,fashion,,uts,FALSE,FALSE
,Photo Studio Student Rate,https://example.com/photo-studio,,25% off portrait sessions for student portfolios.,Book online and mention student discount,services,,all,FALSE,FALSE
,Boba Spot,https://example.com/boba-spot,,$1 off on Tuesdays for students.,Show student ID,food,,unsw,FALSE,FALSE
,Laptop Accessories Store,https://example.com/laptop-accessories,,15% off cases and chargers for students.,Verify with student email,tech,,all,FALSE,FALSE
